15322418 [Pos{x=2624, y=0, z=2848}, Pos{x=1120, y=0, z=1920}, Pos{x=3040, y=0, z=2304}, Pos{x=2912, y=0, z=64}, Pos{x=512, y=0, z=-2336}]
4199985306 [Pos{x=96, y=0, z=-480}, Pos{x=2176, y=0, z=-2016}, Pos{x=-1792, y=0, z=-1920}, Pos{x=3040, y=0, z=-928}, Pos{x=1360, y=0, z=368}]
4201322788 [Pos{x=-1312, y=0, z=-2848}, Pos{x=2816, y=0, z=-2912}, Pos{x=3040, y=0, z=1120}, Pos{x=2880, y=0, z=-352}, Pos{x=-752, y=0, z=-1072}]
4204643092 [Pos{x=-160, y=0, z=-2528}, Pos{x=544, y=0, z=1760}, Pos{x=1376, y=0, z=1024}, Pos{x=-736, y=0, z=1472}, Pos{x=832, y=0, z=-2528}]
4206685642 [Pos{x=2800, y=0, z=-1520}, Pos{x=464, y=0, z=-2064}, Pos{x=2800, y=0, z=-2128}, Pos{x=-672, y=0, z=-3072}, Pos{x=-1248, y=0, z=-2048}]
4206840567 [Pos{x=-640, y=0, z=-1280}, Pos{x=352, y=0, z=-2592}, Pos{x=2864, y=0, z=1584}, Pos{x=-2736, y=0, z=1648}, Pos{x=3040, y=0, z=-1824}]
4209480755 [Pos{x=944, y=0, z=1040}, Pos{x=-1760, y=0, z=-2176}, Pos{x=2480, y=0, z=-1648}, Pos{x=3040, y=0, z=-416}, Pos{x=2048, y=0, z=1696}]
4210541872 [Pos{x=-464, y=0, z=-1008}, Pos{x=-1968, y=0, z=-3024}, Pos{x=2880, y=0, z=-3072}, Pos{x=2944, y=0, z=2272}, Pos{x=416, y=0, z=2048}]
4210669247 [Pos{x=-992, y=0, z=2304}, Pos{x=2752, y=0, z=256}, Pos{x=-2208, y=0, z=2976}, Pos{x=288, y=0, z=896}, Pos{x=176, y=0, z=-2192}]
4210885689 [Pos{x=2144, y=0, z=1248}, Pos{x=-928, y=0, z=-2592}, Pos{x=3040, y=0, z=-384}, Pos{x=-1120, y=0, z=320}, Pos{x=1648, y=0, z=-848}]
4212671622 [Pos{x=-368, y=0, z=-1520}, Pos{x=544, y=0, z=-2112}, Pos{x=1632, y=0, z=-1344}, Pos{x=2464, y=0, z=256}, Pos{x=2624, y=0, z=-1984}]
4213915366 [Pos{x=3040, y=0, z=32}, Pos{x=-2992, y=0, z=-976}, Pos{x=3040, y=0, z=1216}, Pos{x=-320, y=0, z=-1536}, Pos{x=-656, y=0, z=1008}]
4217743116 [Pos{x=2272, y=0, z=-3072}, Pos{x=2320, y=0, z=848}, Pos{x=-3008, y=0, z=-2304}, Pos{x=3040, y=0, z=-2880}, Pos{x=2496, y=0, z=2560}]
4221746432 [Pos{x=2208, y=0, z=-1568}, Pos{x=-1280, y=0, z=-832}, Pos{x=-2576, y=0, z=208}, Pos{x=3040, y=0, z=2048}, Pos{x=-1424, y=0, z=-1232}]
4222475731 [Pos{x=2688, y=0, z=224}, Pos{x=1072, y=0, z=-1328}, Pos{x=-1696, y=0, z=-1728}, Pos{x=2912, y=0, z=1536}, Pos{x=1664, y=0, z=2080}]
4224501796 [Pos{x=1152, y=0, z=960}, Pos{x=-704, y=0, z=-2944}, Pos{x=-2144, y=0, z=-576}, Pos{x=-2800, y=0, z=528}, Pos{x=2208, y=0, z=-1152}]
4228479435 [Pos{x=-2480, y=0, z=2992}, Pos{x=160, y=0, z=1824}, Pos{x=2528, y=0, z=-2944}, Pos{x=3040, y=0, z=1472}, Pos{x=-1952, y=0, z=-1664}]
4229165278 [Pos{x=-1328, y=0, z=-272}, Pos{x=-112, y=0, z=-2288}, Pos{x=2832, y=0, z=-1968}, Pos{x=1504, y=0, z=-2432}, Pos{x=1696, y=0, z=1984}]
4230101880 [Pos{x=1952, y=0, z=2368}, Pos{x=-2048, y=0, z=-1792}, Pos{x=1424, y=0, z=-2576}, Pos{x=1232, y=0, z=2256}, Pos{x=3040, y=0, z=-2336}]
4230836816 [Pos{x=-2896, y=0, z=1264}, Pos{x=-2896, y=0, z=-1296}, Pos{x=1072, y=0, z=2800}, Pos{x=1728, y=0, z=3040}, Pos{x=1104, y=0, z=-2960}]
4230971593 [Pos{x=-2960, y=0, z=2160}, Pos{x=1072, y=0, z=-2544}, Pos{x=-1248, y=0, z=-960}, Pos{x=-944, y=0, z=-944}, Pos{x=688, y=0, z=-2128}]
4233986326 [Pos{x=1968, y=0, z=48}, Pos{x=2720, y=0, z=2752}, Pos{x=576, y=0, z=-3072}, Pos{x=3040, y=0, z=-1344}, Pos{x=-1504, y=0, z=-3072}]
4236084802 [Pos{x=656, y=0, z=-1072}, Pos{x=-1760, y=0, z=-2624}, Pos{x=2368, y=0, z=2496}, Pos{x=3040, y=0, z=1472}, Pos{x=1440, y=0, z=-2528}]
4236848879 [Pos{x=-2672, y=0, z=-2832}, Pos{x=672, y=0, z=2336}, Pos{x=2720, y=0, z=-768}, Pos{x=1888, y=0, z=-2048}, Pos{x=3040, y=0, z=2624}]
4237933868 [Pos{x=-560, y=0, z=1136}, Pos{x=1104, y=0, z=-1584}, Pos{x=3040, y=0, z=2304}, Pos{x=3040, y=0, z=608}, Pos{x=2384, y=0, z=2832}]
4244819053 [Pos{x=3040, y=0, z=2720}, Pos{x=2064, y=0, z=-720}, Pos{x=3040, y=0, z=1568}, Pos{x=2528, y=0, z=3040}, Pos{x=2400, y=0, z=-2816}]
4252607788 [Pos{x=3040, y=0, z=-704}, Pos{x=176, y=0, z=2960}, Pos{x=1440, y=0, z=3040}, Pos{x=3040, y=0, z=864}, Pos{x=-160, y=0, z=2816}]
4253652310 [Pos{x=2976, y=0, z=-3072}, Pos{x=352, y=0, z=-1824}, Pos{x=-1312, y=0, z=-1024}, Pos{x=-2224, y=0, z=80}, Pos{x=-1632, y=0, z=1568}]
4262269921 [Pos{x=2000, y=0, z=-2576}, Pos{x=2592, y=0, z=-224}, Pos{x=3040, y=0, z=1792}, Pos{x=2592, y=0, z=320}, Pos{x=1200, y=0, z=-1808}]
4263133350 [Pos{x=-208, y=0, z=1488}, Pos{x=32, y=0, z=-2304}, Pos{x=-736, y=0, z=2432}, Pos{x=-1504, y=0, z=2752}, Pos{x=3040, y=0, z=320}]
4270956404 [Pos{x=-1632, y=0, z=2816}, Pos{x=2592, y=0, z=2176}, Pos{x=-1376, y=0, z=1984}, Pos{x=416, y=0, z=-1696}, Pos{x=2080, y=0, z=-1024}]
4276118488 [Pos{x=1728, y=0, z=1792}, Pos{x=-2624, y=0, z=-2432}, Pos{x=-1376, y=0, z=3008}, Pos{x=-2432, y=0, z=640}, Pos{x=832, y=0, z=-3072}]
4276419392 [Pos{x=-1952, y=0, z=1920}, Pos{x=-2080, y=0, z=-1024}, Pos{x=2944, y=0, z=-960}, Pos{x=3040, y=0, z=1952}, Pos{x=-2096, y=0, z=1296}]
4276913538 [Pos{x=-1488, y=0, z=-688}, Pos{x=1936, y=0, z=-1776}, Pos{x=-1248, y=0, z=2176}, Pos{x=-1456, y=0, z=-1776}, Pos{x=2656, y=0, z=-128}]
4281645208 [Pos{x=-1120, y=0, z=2848}, Pos{x=-1392, y=0, z=-3056}, Pos{x=2400, y=0, z=512}, Pos{x=3040, y=0, z=576}, Pos{x=-2304, y=0, z=2688}]
4281724815 [Pos{x=-1088, y=0, z=-1312}, Pos{x=544, y=0, z=1024}, Pos{x=3040, y=0, z=2560}, Pos{x=-1680, y=0, z=-2736}, Pos{x=32, y=0, z=-1024}]
4287377577 [Pos{x=-1344, y=0, z=1312}, Pos{x=-928, y=0, z=2048}, Pos{x=3040, y=0, z=-448}, Pos{x=-32, y=0, z=-2752}, Pos{x=2640, y=0, z=-80}]
4289537764 [Pos{x=-2976, y=0, z=-608}, Pos{x=-2912, y=0, z=256}, Pos{x=-592, y=0, z=-1520}, Pos{x=3040, y=0, z=1344}, Pos{x=1248, y=0, z=1024}]
4290200602 [Pos{x=-2960, y=0, z=720}, Pos{x=2096, y=0, z=624}, Pos{x=560, y=0, z=-2320}, Pos{x=1168, y=0, z=-2864}, Pos{x=1360, y=0, z=2096}]
4290358530 [Pos{x=1376, y=0, z=-2240}, Pos{x=2992, y=0, z=2864}, Pos{x=2784, y=0, z=2592}, Pos{x=-2000, y=0, z=1328}, Pos{x=432, y=0, z=-1744}]
4291674595 [Pos{x=1424, y=0, z=784}, Pos{x=2528, y=0, z=-1280}, Pos{x=3040, y=0, z=-3008}, Pos{x=3040, y=0, z=-1984}, Pos{x=3040, y=0, z=896}]
4291996259 [Pos{x=48, y=0, z=-3056}, Pos{x=-1952, y=0, z=2944}, Pos{x=2864, y=0, z=-1936}, Pos{x=1888, y=0, z=-3008}, Pos{x=2448, y=0, z=432}]
4295587377 [Pos{x=1376, y=0, z=-1760}, Pos{x=-512, y=0, z=-3040}, Pos{x=1568, y=0, z=-2368}, Pos{x=-2672, y=0, z=2544}, Pos{x=3040, y=0, z=256}]
4296409867 [Pos{x=1184, y=0, z=256}, Pos{x=1008, y=0, z=-368}, Pos{x=-368, y=0, z=-1744}, Pos{x=3040, y=0, z=-2496}, Pos{x=2752, y=0, z=1024}]
4297537035 [Pos{x=80, y=0, z=-2256}, Pos{x=-240, y=0, z=-2160}, Pos{x=1808, y=0, z=1584}, Pos{x=3040, y=0, z=2720}, Pos{x=-1568, y=0, z=512}]
4302329882 [Pos{x=-2720, y=0, z=-896}, Pos{x=-624, y=0, z=1008}, Pos{x=2688, y=0, z=-320}, Pos{x=-2208, y=0, z=3008}, Pos{x=-96, y=0, z=960}]
4302601672 [Pos{x=2784, y=0, z=2304}, Pos{x=-1936, y=0, z=-2160}, Pos{x=3040, y=0, z=-640}, Pos{x=-3040, y=0, z=2304}, Pos{x=-720, y=0, z=-592}]
4303102747 [Pos{x=2096, y=0, z=2320}, Pos{x=32, y=0, z=-896}, Pos{x=2656, y=0, z=-2944}, Pos{x=3040, y=0, z=-2304}, Pos{x=1376, y=0, z=1216}]
4306637015 [Pos{x=3040, y=0, z=-1024}, Pos{x=-2464, y=0, z=1440}, Pos{x=-2720, y=0, z=0}, Pos{x=-1120, y=0, z=2560}, Pos{x=1728, y=0, z=2496}]
4309129306 [Pos{x=1440, y=0, z=288}, Pos{x=-144, y=0, z=1712}, Pos{x=3040, y=0, z=-2560}, Pos{x=-896, y=0, z=-1792}, Pos{x=-224, y=0, z=-2816}]
4314156862 [Pos{x=1408, y=0, z=-1216}, Pos{x=-160, y=0, z=-2176}, Pos{x=3040, y=0, z=2112}, Pos{x=-1696, y=0, z=2784}, Pos{x=-1184, y=0, z=960}]
4316243457 [Pos{x=1712, y=0, z=-240}, Pos{x=-1952, y=0, z=2368}, Pos{x=-2400, y=0, z=-320}, Pos{x=576, y=0, z=2336}, Pos{x=-2336, y=0, z=3008}]
4319754444 [Pos{x=-1088, y=0, z=288}, Pos{x=2736, y=0, z=-1264}, Pos{x=3040, y=0, z=-2080}, Pos{x=-1696, y=0, z=-1536}, Pos{x=1312, y=0, z=-1504}]
4324112092 [Pos{x=2752, y=0, z=1760}, Pos{x=-1504, y=0, z=384}, Pos{x=-2608, y=0, z=2704}, Pos{x=-2384, y=0, z=-1200}, Pos{x=1984, y=0, z=1056}]
4325883050 [Pos{x=2640, y=0, z=784}, Pos{x=2352, y=0, z=-1488}, Pos{x=160, y=0, z=-2880}, Pos{x=368, y=0, z=2608}, Pos{x=1440, y=0, z=1536}]
4327118992 [Pos{x=-576, y=0, z=-1760}, Pos{x=1248, y=0, z=384}, Pos{x=3040, y=0, z=-640}, Pos{x=1504, y=0, z=-1920}, Pos{x=-592, y=0, z=-3056}]
4335542936 [Pos{x=384, y=0, z=-1728}, Pos{x=-1184, y=0, z=-448}, Pos{x=-672, y=0, z=-2496}, Pos{x=144, y=0, z=2032}, Pos{x=2016, y=0, z=2016}]
4337646140 [Pos{x=1136, y=0, z=-2800}, Pos{x=1504, y=0, z=256}, Pos{x=1056, y=0, z=1152}, Pos{x=-3024, y=0, z=-2992}, Pos{x=-304, y=0, z=16}]
4339087120 [Pos{x=2000, y=0, z=720}, Pos{x=3040, y=0, z=-3072}, Pos{x=848, y=0, z=-2864}, Pos{x=-2720, y=0, z=1376}, Pos{x=2464, y=0, z=1984}]
4342235722 [Pos{x=1840, y=0, z=-2096}, Pos{x=1856, y=0, z=2560}, Pos{x=2944, y=0, z=2944}, Pos{x=-1248, y=0, z=-832}, Pos{x=2096, y=0, z=1008}]
4342636905 [Pos{x=-2912, y=0, z=0}, Pos{x=2832, y=0, z=2512}, Pos{x=3040, y=0, z=-1120}, Pos{x=-1664, y=0, z=-992}, Pos{x=112, y=0, z=-592}]
4342978338 [Pos{x=-80, y=0, z=2096}, Pos{x=2992, y=0, z=1328}, Pos{x=3040, y=0, z=32}, Pos{x=3040, y=0, z=-1184}, Pos{x=-928, y=0, z=-192}]
4344148337 [Pos{x=-1760, y=0, z=2848}, Pos{x=1568, y=0, z=-2240}, Pos{x=288, y=0, z=2304}, Pos{x=-1904, y=0, z=1040}, Pos{x=3040, y=0, z=1312}]
4346157802 [Pos{x=2400, y=0, z=2400}, Pos{x=-736, y=0, z=-2560}, Pos{x=3040, y=0, z=2336}, Pos{x=2832, y=0, z=-2512}, Pos{x=-2256, y=0, z=2096}]
4353044866 [Pos{x=-1168, y=0, z=784}, Pos{x=384, y=0, z=-544}, Pos{x=224, y=0, z=-1792}, Pos{x=-1344, y=0, z=3008}, Pos{x=-1488, y=0, z=-2032}]
4356379635 [Pos{x=-1072, y=0, z=-528}, Pos{x=1120, y=0, z=1408}, Pos{x=2912, y=0, z=160}, Pos{x=-768, y=0, z=512}, Pos{x=-2016, y=0, z=-1536}]
4362344169 [Pos{x=160, y=0, z=1024}, Pos{x=-1888, y=0, z=-288}, Pos{x=-400, y=0, z=-784}, Pos{x=3008, y=0, z=-1216}, Pos{x=-992, y=0, z=-2304}]
4364061510 [Pos{x=3008, y=0, z=2592}, Pos{x=2304, y=0, z=-2368}, Pos{x=3040, y=0, z=-1888}, Pos{x=1856, y=0, z=-3008}, Pos{x=1120, y=0, z=-576}]
4366116141 [Pos{x=-1376, y=0, z=-704}, Pos{x=2144, y=0, z=-768}, Pos{x=-2464, y=0, z=864}, Pos{x=-2944, y=0, z=2976}, Pos{x=160, y=0, z=1152}]
4367254789 [Pos{x=2624, y=0, z=3040}, Pos{x=-2672, y=0, z=2448}, Pos{x=3040, y=0, z=1664}, Pos{x=1696, y=0, z=1152}, Pos{x=3040, y=0, z=-2848}]
4370402056 [Pos{x=2272, y=0, z=3008}, Pos{x=864, y=0, z=-1632}, Pos{x=2688, y=0, z=-2880}, Pos{x=-1696, y=0, z=-448}, Pos{x=1504, y=0, z=-64}]
4371295446 [Pos{x=-2416, y=0, z=1008}, Pos{x=2336, y=0, z=-448}, Pos{x=-2688, y=0, z=-928}, Pos{x=2912, y=0, z=256}, Pos{x=1120, y=0, z=2112}]
4379048543 [Pos{x=-1184, y=0, z=1888}, Pos{x=2912, y=0, z=2048}, Pos{x=-832, y=0, z=1024}, Pos{x=-2688, y=0, z=-1792}, Pos{x=1408, y=0, z=-1152}]
4380976062 [Pos{x=1968, y=0, z=-240}, Pos{x=992, y=0, z=-1440}, Pos{x=1632, y=0, z=2048}, Pos{x=2592, y=0, z=2816}, Pos{x=1824, y=0, z=-1088}]
4383049070 [Pos{x=2624, y=0, z=2432}, Pos{x=2464, y=0, z=-2816}, Pos{x=2624, y=0, z=3040}, Pos{x=1232, y=0, z=2960}, Pos{x=-2816, y=0, z=2624}]
4383341697 [Pos{x=-608, y=0, z=-672}, Pos{x=560, y=0, z=2160}, Pos{x=2848, y=0, z=-2176}, Pos{x=-688, y=0, z=1264}, Pos{x=1616, y=0, z=-1424}]
4383959859 [Pos{x=2368, y=0, z=-2848}, Pos{x=112, y=0, z=2864}, Pos{x=384, y=0, z=-3040}, Pos{x=-1408, y=0, z=1984}, Pos{x=3040, y=0, z=-2112}]
4384963884 [Pos{x=-2688, y=0, z=288}, Pos{x=2752, y=0, z=-32}, Pos{x=3040, y=0, z=2784}, Pos{x=1632, y=0, z=-512}, Pos{x=2400, y=0, z=2048}]
4388308114 [Pos{x=-2976, y=0, z=1536}, Pos{x=1088, y=0, z=2048}, Pos{x=-160, y=0, z=-1792}, Pos{x=-352, y=0, z=-3072}, Pos{x=1440, y=0, z=-960}]
4389345957 [Pos{x=-720, y=0, z=-1936}, Pos{x=1536, y=0, z=2048}, Pos{x=1712, y=0, z=-1872}, Pos{x=-1888, y=0, z=-256}, Pos{x=1312, y=0, z=1600}]
4390528094 [Pos{x=-1136, y=0, z=2576}, Pos{x=2912, y=0, z=-768}, Pos{x=-1168, y=0, z=-1424}, Pos{x=2592, y=0, z=-192}, Pos{x=928, y=0, z=-2976}]
4393151613 [Pos{x=2624, y=0, z=2688}, Pos{x=-384, y=0, z=-1088}, Pos{x=1888, y=0, z=-1920}, Pos{x=1824, y=0, z=-1408}, Pos{x=1232, y=0, z=688}]
4393858639 [Pos{x=2912, y=0, z=2720}, Pos{x=1968, y=0, z=-2896}, Pos{x=1680, y=0, z=2480}, Pos{x=2976, y=0, z=-1248}, Pos{x=256, y=0, z=-1024}]
4394673743 [Pos{x=2352, y=0, z=2384}, Pos{x=1184, y=0, z=-480}, Pos{x=-416, y=0, z=3008}, Pos{x=3040, y=0, z=-672}, Pos{x=-192, y=0, z=1024}]
4396065335 [Pos{x=2288, y=0, z=-2320}, Pos{x=1952, y=0, z=0}, Pos{x=2592, y=0, z=896}, Pos{x=384, y=0, z=1856}, Pos{x=-864, y=0, z=-192}]
4396693502 [Pos{x=1984, y=0, z=-1824}, Pos{x=2400, y=0, z=2752}, Pos{x=1184, y=0, z=2880}, Pos{x=288, y=0, z=3008}, Pos{x=2592, y=0, z=128}]
4399852829 [Pos{x=672, y=0, z=960}, Pos{x=2144, y=0, z=-512}, Pos{x=2912, y=0, z=-1472}, Pos{x=3040, y=0, z=-2144}, Pos{x=1120, y=0, z=-128}]
4402237216 [Pos{x=-560, y=0, z=-2992}, Pos{x=-2784, y=0, z=-1536}, Pos{x=2544, y=0, z=1744}, Pos{x=2832, y=0, z=-2160}, Pos{x=1312, y=0, z=2240}]
4404101388 [Pos{x=-1152, y=0, z=-1280}, Pos{x=640, y=0, z=2240}, Pos{x=-1584, y=0, z=3024}, Pos{x=-928, y=0, z=-3008}, Pos{x=1744, y=0, z=1552}]
4404377150 [Pos{x=-1360, y=0, z=-2032}, Pos{x=-2752, y=0, z=192}, Pos{x=-2240, y=0, z=2048}, Pos{x=3008, y=0, z=-1728}, Pos{x=3040, y=0, z=1472}]
4408080719 [Pos{x=-1104, y=0, z=1232}, Pos{x=592, y=0, z=-1296}, Pos{x=3040, y=0, z=1088}, Pos{x=-2864, y=0, z=1040}, Pos{x=-480, y=0, z=-2784}]
4408957524 [Pos{x=1824, y=0, z=2272}, Pos{x=1360, y=0, z=592}, Pos{x=2464, y=0, z=-3008}, Pos{x=352, y=0, z=-2624}, Pos{x=-2784, y=0, z=-128}]
4411852982 [Pos{x=-1664, y=0, z=-2784}, Pos{x=-2336, y=0, z=-1024}, Pos{x=192, y=0, z=-1984}, Pos{x=1504, y=0, z=-2560}, Pos{x=3040, y=0, z=-224}]
4413836498 [Pos{x=-1344, y=0, z=32}, Pos{x=-880, y=0, z=-880}, Pos{x=3040, y=0, z=3008}, Pos{x=-32, y=0, z=2880}, Pos{x=1872, y=0, z=-2832}]
4416361601 [Pos{x=1600, y=0, z=-2304}, Pos{x=2912, y=0, z=-32}, Pos{x=224, y=0, z=2944}, Pos{x=2528, y=0, z=2112}, Pos{x=352, y=0, z=-1056}]
4416705906 [Pos{x=1936, y=0, z=2800}, Pos{x=1632, y=0, z=1984}, Pos{x=2976, y=0, z=-1792}, Pos{x=-2640, y=0, z=-3024}, Pos{x=-1152, y=0, z=960}]
4417769085 [Pos{x=-1984, y=0, z=2208}, Pos{x=2096, y=0, z=2960}, Pos{x=-2016, y=0, z=2880}, Pos{x=-1216, y=0, z=-3040}, Pos{x=3040, y=0, z=256}]
4419677624 [Pos{x=1360, y=0, z=2992}, Pos{x=2992, y=0, z=2608}, Pos{x=1632, y=0, z=-1152}, Pos{x=2752, y=0, z=3040}, Pos{x=3040, y=0, z=-2528}]
4420245288 [Pos{x=-896, y=0, z=-2272}, Pos{x=2160, y=0, z=1904}, Pos{x=1952, y=0, z=2368}, Pos{x=1024, y=0, z=3040}, Pos{x=1616, y=0, z=-1008}]
4420724050 [Pos{x=2160, y=0, z=-720}, Pos{x=864, y=0, z=2816}, Pos{x=3040, y=0, z=-1504}, Pos{x=-2144, y=0, z=2432}, Pos{x=-1744, y=0, z=1296}]
4423043897 [Pos{x=864, y=0, z=-3040}, Pos{x=2560, y=0, z=-256}, Pos{x=-2656, y=0, z=1280}, Pos{x=656, y=0, z=-2224}, Pos{x=-816, y=0, z=-720}]
4423349796 [Pos{x=-2928, y=0, z=1008}, Pos{x=1424, y=0, z=-2416}, Pos{x=2400, y=0, z=-1856}, Pos{x=-2656, y=0, z=-2496}, Pos{x=608, y=0, z=-1408}]
4424182932 [Pos{x=2720, y=0, z=1824}, Pos{x=928, y=0, z=2048}, Pos{x=-2448, y=0, z=-144}, Pos{x=2912, y=0, z=-2048}, Pos{x=544, y=0, z=2880}]
4425324503 [Pos{x=2144, y=0, z=2304}, Pos{x=-864, y=0, z=1280}, Pos{x=2384, y=0, z=-1392}, Pos{x=-3024, y=0, z=2800}, Pos{x=-1536, y=0, z=-3008}]
4425502078 [Pos{x=1104, y=0, z=1008}, Pos{x=1872, y=0, z=-2928}, Pos{x=-1744, y=0, z=2096}, Pos{x=-2992, y=0, z=784}, Pos{x=736, y=0, z=-1024}]
4426978606 [Pos{x=1424, y=0, z=1200}, Pos{x=2960, y=0, z=-1264}, Pos{x=-352, y=0, z=1120}, Pos{x=-112, y=0, z=1744}, Pos{x=2560, y=0, z=1728}]
4427158978 [Pos{x=-1632, y=0, z=-2080}, Pos{x=2640, y=0, z=2128}, Pos{x=1328, y=0, z=-2544}, Pos{x=352, y=0, z=2912}, Pos{x=2912, y=0, z=-992}]
4427411342 [Pos{x=2992, y=0, z=1776}, Pos{x=1632, y=0, z=-352}, Pos{x=-2144, y=0, z=-2112}, Pos{x=-1376, y=0, z=-1344}, Pos{x=416, y=0, z=960}]
4427823634 [Pos{x=944, y=0, z=-1264}, Pos{x=-2208, y=0, z=1536}, Pos{x=-64, y=0, z=1248}, Pos{x=1888, y=0, z=-2624}, Pos{x=-1744, y=0, z=-2128}]
4429240925 [Pos{x=1184, y=0, z=-3040}, Pos{x=-368, y=0, z=1808}, Pos{x=-1136, y=0, z=720}, Pos{x=2976, y=0, z=-2560}, Pos{x=608, y=0, z=1024}]
4429942034 [Pos{x=2464, y=0, z=-1760}, Pos{x=-2672, y=0, z=432}, Pos{x=-2160, y=0, z=-688}, Pos{x=-2656, y=0, z=3008}, Pos{x=592, y=0, z=2800}]
4431038579 [Pos{x=-2144, y=0, z=2048}, Pos{x=1312, y=0, z=256}, Pos{x=-2416, y=0, z=-976}, Pos{x=3040, y=0, z=-192}, Pos{x=2656, y=0, z=-2048}]
4431239015 [Pos{x=2640, y=0, z=-1616}, Pos{x=3040, y=0, z=-864}, Pos{x=1584, y=0, z=-784}, Pos{x=-768, y=0, z=3040}, Pos{x=-2528, y=0, z=64}]
4432267793 [Pos{x=944, y=0, z=-752}, Pos{x=-2496, y=0, z=1344}, Pos{x=3040, y=0, z=2048}, Pos{x=2592, y=0, z=-1920}, Pos{x=864, y=0, z=256}]
4434299739 [Pos{x=2464, y=0, z=-2368}, Pos{x=2912, y=0, z=-320}, Pos{x=-416, y=0, z=-1120}, Pos{x=-1520, y=0, z=-2544}, Pos{x=-1104, y=0, z=2992}]
4434710872 [Pos{x=-160, y=0, z=-2688}, Pos{x=2592, y=0, z=1824}, Pos{x=2720, y=0, z=2560}, Pos{x=-1920, y=0, z=-2304}, Pos{x=352, y=0, z=-1248}]
4435669342 [Pos{x=32, y=0, z=1120}, Pos{x=1600, y=0, z=-352}, Pos{x=1440, y=0, z=2688}, Pos{x=-2128, y=0, z=-1424}, Pos{x=2400, y=0, z=-1728}]
4435982497 [Pos{x=832, y=0, z=-960}, Pos{x=2016, y=0, z=-2752}, Pos{x=1632, y=0, z=-2176}, Pos{x=2064, y=0, z=1776}, Pos{x=480, y=0, z=-3072}]
4439002980 [Pos{x=-2368, y=0, z=-512}, Pos{x=-496, y=0, z=2832}, Pos{x=-2736, y=0, z=1296}, Pos{x=2112, y=0, z=1216}, Pos{x=3040, y=0, z=-2944}]
4439167936 [Pos{x=432, y=0, z=-1808}, Pos{x=2880, y=0, z=3040}, Pos{x=3040, y=0, z=736}, Pos{x=-1616, y=0, z=2064}, Pos{x=-1696, y=0, z=-512}]
4440388995 [Pos{x=1104, y=0, z=-3024}, Pos{x=1376, y=0, z=-64}, Pos{x=1424, y=0, z=-1616}, Pos{x=-1264, y=0, z=-3056}, Pos{x=3040, y=0, z=1824}]
4443633991 [Pos{x=2752, y=0, z=-960}, Pos{x=832, y=0, z=2272}, Pos{x=608, y=0, z=1536}, Pos{x=-1424, y=0, z=-752}, Pos{x=-816, y=0, z=1168}]
4444851069 [Pos{x=2400, y=0, z=-2688}, Pos{x=1808, y=0, z=1520}, Pos{x=3040, y=0, z=1472}, Pos{x=1824, y=0, z=-2240}, Pos{x=352, y=0, z=-640}]
4445835154 [Pos{x=-1584, y=0, z=528}, Pos{x=-3056, y=0, z=2608}, Pos{x=-2688, y=0, z=2400}, Pos{x=1824, y=0, z=-2752}, Pos{x=-1680, y=0, z=-3056}]
4446202949 [Pos{x=-2272, y=0, z=32}, Pos{x=432, y=0, z=-3056}, Pos{x=1936, y=0, z=-2800}, Pos{x=-2016, y=0, z=1408}, Pos{x=-432, y=0, z=-240}]
4446542923 [Pos{x=-960, y=0, z=2688}, Pos{x=-608, y=0, z=512}, Pos{x=-224, y=0, z=800}, Pos{x=3040, y=0, z=64}, Pos{x=1168, y=0, z=-2576}]
4447337337 [Pos{x=2880, y=0, z=128}, Pos{x=1792, y=0, z=-1024}, Pos{x=2848, y=0, z=-2016}, Pos{x=-224, y=0, z=-2752}, Pos{x=2592, y=0, z=832}]
4455353011 [Pos{x=64, y=0, z=-1856}, Pos{x=3040, y=0, z=1824}, Pos{x=2240, y=0, z=-3072}, Pos{x=-2208, y=0, z=-2176}, Pos{x=352, y=0, z=2688}]
4458468582 [Pos{x=-192, y=0, z=2944}, Pos{x=-1088, y=0, z=-2816}, Pos{x=3008, y=0, z=3040}, Pos{x=-736, y=0, z=704}, Pos{x=3040, y=0, z=-2592}]
4462259460 [Pos{x=-2208, y=0, z=-1120}, Pos{x=2672, y=0, z=1232}, Pos{x=-272, y=0, z=2096}, Pos{x=-304, y=0, z=-3056}, Pos{x=2192, y=0, z=2640}]
4464000964 [Pos{x=96, y=0, z=2720}, Pos{x=-864, y=0, z=320}, Pos{x=3040, y=0, z=2752}, Pos{x=2624, y=0, z=-2656}, Pos{x=208, y=0, z=-3056}]
4466914773 [Pos{x=2256, y=0, z=208}, Pos{x=144, y=0, z=-2256}, Pos{x=-256, y=0, z=3040}, Pos{x=3040, y=0, z=-960}, Pos{x=1456, y=0, z=-112}]
4467369387 [Pos{x=1584, y=0, z=-368}, Pos{x=-288, y=0, z=-3072}, Pos{x=-688, y=0, z=-2160}, Pos{x=3040, y=0, z=1952}, Pos{x=2352, y=0, z=-1296}]
4469504179 [Pos{x=-1408, y=0, z=-2816}, Pos{x=1120, y=0, z=-2816}, Pos{x=3040, y=0, z=960}, Pos{x=-2656, y=0, z=1312}, Pos{x=3040, y=0, z=-2112}]
